STATION,BUSYNESS,Station.Latitude,Station.Longitude
103 ST,51884,40.796092,-73.961454
110 ST-CATHEDRL,18956,40.800605,-73.958158
116 ST-COLUMBIA,20701,40.807722,-73.96411
125 ST,128456,40.815581,-73.958372
137 ST-CITY COL,25546,40.822008,-73.953676
14 ST,66645,40.737826,-74.000201
145 ST,59907,40.826551,-73.95036
157 ST,16648,40.834041,-73.94489
168 ST-BROADWAY,37651,40.840556,-73.940133
18 ST,11665,40.74104,-73.997871
181 ST,37159,40.849505,-73.933596
191 ST,14660,40.855225,-73.929412
207 ST,8404,40.864614,-73.918819
215 ST,2759,40.869444,-73.915279
23 ST,108372,40.744081,-73.995657
231 ST,9012,40.878856,-73.904834
238 ST,3190,40.884667,-73.90087
242 ST,8889,40.889248,-73.898583
28 ST,59212,40.74307,-73.984264
34 ST-PENN STA,279468,40.749719,-73.987823
42 ST-TIMES SQ,172852,40.754222,-73.984569
50 ST,79402,40.762456,-73.985984
59 ST-COLUMBUS,110712,40.768296,-73.981736
66 ST-LINCOLN,40404,40.77344,-73.982209
72 ST,88071,40.778453,-73.98197
79 ST,30896,40.783934,-73.979917
86 ST,178043,40.788644,-73.976218
96 ST,66180,40.793919,-73.972323
CANAL ST,114255,40.722854,-74.006277
CHAMBERS ST,102702,40.715478,-74.009266
CHRISTOPHER ST,26366,40.733422,-74.002906
DYCKMAN ST,10030,40.860531,-73.925536
FRANKLIN ST,7468,40.719318,-74.006886
HOUSTON ST,21738,40.728251,-74.005367
MARBLE HILL-225,6196,40.874561,-73.909831
RECTOR ST,21523,40.707513,-74.013783